location_name,location_id,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
Abruzzo,35507,12/29/20,11/20/20,1/25/21,12/27/20,11/20/20,1/24/21,12/27/20,11/20/20,1/24/21,4500,96,3494,68,1006,28,3/22/20,5/4/20,3/11/20,6/3/20,3/5/20,9/24/20,3/11/20,,3/11/20,6/15/20,3/11/20,4/14/20
Acre,4750,6/6/20,6/6/20,6/6/20,6/10/20,6/10/20,6/10/20,6/10/20,6/10/20,6/10/20,1316,44,1027,37,289,7,,,,,3/16/20,,3/20/20,,3/17/20,,3/17/20,6/22/20
Afghanistan,160,3/13/21,7/11/20,4/14/21,3/13/21,7/11/20,4/13/21,3/13/21,7/11/20,4/13/21,16946,1364,11660,924,5286,440,,,,,3/14/20,,3/18/20,,3/18/20,,,
Aguascalientes,4643,11/14/20,9/22/20,11/26/20,11/14/20,9/23/20,11/26/20,11/14/20,9/23/20,11/26/20,1414,78,986,65,428,13,,,6/22/20,,3/19/20,,3/13/20,,3/23/20,,3/30/20,
Alabama,523,1/14/21,11/24/20,3/7/21,1/14/21,7/26/20,3/6/21,1/14/21,7/21/20,2/28/21,17537,1525,11793,1050,5744,475,,,4/4/20,4/30/20,3/19/20,,3/19/20,,3/19/20,6/15/20,3/28/20,4/30/20
Alagoas,4751,5/25/20,5/25/20,5/25/20,6/10/20,6/10/20,6/10/20,6/10/20,6/10/20,6/10/20,5244,291,4103,250,1141,41,,,,,3/17/20,,3/16/20,,4/7/20,,4/7/20,5/6/20
Alaska,524,2/21/21,4/5/20,3/25/21,2/21/21,4/4/20,3/24/21,4/4/20,4/4/20,3/23/21,2034,169,1351,115,683,54,3/28/20,,3/28/20,4/24/20,3/16/20,,3/24/20,5/22/20,3/17/20,5/22/20,3/28/20,4/24/20
Albania,43,1/12/21,12/20/20,2/3/21,1/11/21,12/19/20,2/3/21,1/11/21,12/19/20,2/3/21,7733,213,3831,71,3902,142,3/14/20,6/1/20,3/12/20,6/1/20,3/8/20,9/15/20,3/12/20,,3/11/20,,3/14/20,4/20/20
Alberta,43858,2/3/21,1/4/21,3/12/21,2/3/21,1/2/21,3/11/21,2/2/21,1/2/21,3/11/21,,,,,,,,,,,3/16/20,,3/12/20,,3/18/20,,,
Algeria,139,2/25/21,2/4/21,3/27/21,2/25/21,2/4/21,3/27/21,2/25/21,2/4/21,3/26/21,69667,3157,44329,1958,25338,1199,,,,,3/12/20,,3/17/20,,3/22/20,,,
Amapá,4753,5/23/20,5/23/20,5/23/20,5/17/20,5/17/20,5/17/20,5/17/20,5/17/20,5/17/20,902,39,707,33,195,6,,,5/19/20,,3/18/20,,3/20/20,,3/20/20,,4/4/20,6/16/20
Amazonas,4752,5/9/20,5/9/20,5/9/20,5/11/20,5/11/20,5/11/20,5/11/20,5/11/20,5/11/20,4795,266,3753,228,1042,38,4/6/20,6/1/20,,,3/16/20,,3/31/20,,3/19/20,,3/24/20,6/1/20
Andalucia,60357,3/28/20,3/28/20,4/17/21,3/28/20,3/28/20,4/15/21,3/28/20,3/28/20,1/18/21,,,,,,,,,3/15/20,5/18/20,3/14/20,,3/15/20,,3/15/20,,3/15/20,4/13/20
Andhra Pradesh,4841,8/27/20,8/27/20,4/7/21,8/31/20,8/31/20,4/6/21,8/31/20,8/31/20,8/31/20,,,,,,,3/22/20,5/21/20,3/22/20,6/1/20,3/18/20,,3/22/20,,3/22/20,,3/22/20,5/21/20
Andorra,74,11/12/20,10/23/20,11/16/20,4/5/20,4/5/20,11/16/20,4/4/20,4/4/20,4/4/20,235,5,181,3,54,2,,,,,3/16/20,9/14/20,,,3/13/20,,3/16/20,4/20/20
Angola,168,9/11/21,12/2/20,10/2/21,9/11/21,12/2/20,10/2/21,9/11/21,12/2/20,10/2/21,22528,321,15365,215,7163,106,3/27/20,5/25/20,3/27/20,5/25/20,3/24/20,,3/24/20,,3/27/20,,3/27/20,5/25/20
Aragon,60358,4/6/20,4/6/20,11/22/20,4/8/20,4/8/20,4/8/20,4/7/20,4/7/20,4/7/20,,,,,,,,,3/15/20,5/11/20,3/14/20,,3/15/20,,3/15/20,,3/15/20,4/13/20
Argentina,97,11/7/20,10/21/20,11/14/20,11/7/20,10/21/20,11/14/20,11/7/20,10/21/20,11/14/20,200702,8498,148564,4592,52138,3906,3/20/20,4/27/20,3/20/20,,3/16/20,,3/15/20,,3/20/20,,3/20/20,
Arizona,525,7/20/20,7/20/20,12/8/20,7/20/20,7/20/20,11/30/20,7/21/20,7/21/20,7/21/20,16342,1440,10324,932,6018,508,,,3/30/20,5/16/20,3/16/20,,3/30/20,5/16/20,3/30/20,5/16/20,,
Arkansas,526,12/20/20,11/17/20,2/27/21,12/20/20,11/17/20,2/27/21,12/19/20,11/17/20,2/27/21,11243,914,6237,519,5006,395,,,,,3/17/20,8/24/20,3/27/20,6/18/20,3/19/20,,,
Armenia,33,11/25/20,11/19/20,1/9/21,11/25/20,11/18/20,1/8/21,11/25/20,11/18/20,1/8/21,12772,274,6963,110,5809,164,4/3/20,4/22/20,3/24/20,5/4/20,3/13/20,,3/16/20,,3/24/20,,3/24/20,4/23/20
